"BG","NAG","ALP","C..Neea","C..Peea","N..Peea","Vector.A","Vector.L","C..Nleaf","C..Pleaf","N..Pleaf","SOC","STP","STN","SAP","SAN","SNN","C..Nsoil","C..Psoil","N..Psoil","C..Nlitter","C..Plitter","N.Plitter"
"BG",1,0.621478032812066,0.195125660529581,-0.0945886672457649,0.230312209503465,0.255413438233373,-0.214556491984803,0.159963358150806,-0.581254895453425,0.246763260355951,0.464611775342087,0.512439471383453,0.0938541552072434,0.534058515077863,0.027652534037883,-0.440122509164166,-0.255663901575001,0.366933003120016,0.337395516161751,0.296914288920679,0.016428632401533,0.0935657511773059,0.0549869444840873
"NAG",0.621478032812066,1,0.261276007473318,-0.800233287087687,0.0288335636824142,0.396075295901176,-0.350331481088697,-0.393537632052481,-0.176539016832543,0.348342026709215,0.397906153305609,0.773453926659859,-0.154486576779841,0.613093989202628,0.0932230349880004,-0.459929747426048,-0.409290296826188,0.685856358031734,0.714345760904942,0.58652162557043,0.256878415471167,0.371653950526115,0.238258576637484
"ALP",0.195125660529581,0.261276007473318,1,-0.217883089855269,-0.768147948177475,-0.658613583239057,0.788221873024924,-0.743316494112288,-0.14935268050652,-0.0533539164419459,0.000460040108833986,0.103442502941098,0.374292334046399,-0.0113097534973074,-0.37842265977294,-0.114856365649749,-0.1271026941872,0.266198163814306,-0.167825753369917,-0.31618277577357,0.0588089098384136,-0.181544971262666,-0.272139592786907
"C..Neea",-0.0945886672457649,-0.800233287087687,-0.217883089855269,1,0.184644246702084,-0.292643689846341,0.238569557378176,0.655369598369889,-0.169883378035004,-0.214085766500507,-0.127931746155369,-0.500986998569599,0.260887646858848,-0.311639337978275,0.0270016391856125,0.180321382398961,0.309894883936035,-0.482405555888979,-0.539964510617905,-0.419987086183304,-0.286825903387122,-0.327902284255775,-0.168444761962445
"C..Peea",0.230312209503465,0.0288335636824142,-0.768147948177475,0.184644246702084,1,0.858806741091409,-0.826161833939892,0.837919936461262,-0.0206996966496362,0.134874103055886,0.115795845845915,0.21667268942913,-0.212657622673101,0.316479599383091,0.479785092520118,-0.0939123871591783,0.168456697296631,0.0742476573459535,0.387192567584659,0.475732678218831,0.154423375191212,0.356089575021711,0.290293391084503
"N..Peea",0.255413438233373,0.396075295901176,-0.658613583239057,-0.292643689846341,0.858806741091409,1,-0.914190545527871,0.495709034744236,0.0848785150340212,0.255962561271052,0.188704807314093,0.459688958226286,-0.310893242876263,0.460632686181997,0.490152423255345,-0.218801719437819,-0.0726632994844094,0.299939670946687,0.666450991810282,0.68625887188173,0.247341149017914,0.539608178964234,0.429380217299788
"Vector.A",-0.214556491984803,-0.350331481088697,0.788221873024924,0.238569557378176,-0.826161833939892,-0.914190545527871,1,-0.530728436442977,0.0136782107940136,-0.255510961270234,-0.240392851453222,-0.428592461344834,0.419628312399316,-0.455511720525005,-0.509250732278147,0.189305665561336,0.0918317707939759,-0.219194254542617,-0.627413475694925,-0.693444232435347,-0.0956700250224358,-0.388688902985968,-0.385611822272441
"Vector.L",0.159963358150806,-0.393537632052481,-0.743316494112288,0.655369598369889,0.837919936461262,0.495709034744236,-0.530728436442977,1,-0.146586734953071,0.0297278074206713,0.0833299684375135,-0.143986538380148,-0.0821092654866835,0.0395850183611725,0.38855384200538,0.0351430634047908,0.241831430194873,-0.253710575092657,-0.0127599602242897,0.139392330001235,-0.0988991329655702,0.0452931235030814,0.107902338321628
"C..Nleaf",-0.581254895453425,-0.176539016832543,-0.14935268050652,-0.169883378035004,-0.0206996966496362,0.0848785150340212,0.0136782107940136,-0.146586734953071,1,0.124606465425468,-0.273405139549481,-0.115952819674016,-0.134471141907658,-0.222875559205742,-0.0344576217773326,0.105165961814067,0.102764053035016,-0.0385068357928343,0.0591268901953753,0.0072725125245876,0.149289618653809,0.2831974177969,0.256682078213149
"C..Pleaf",0.246763260355951,0.348342026709215,-0.0533539164419459,-0.214085766500507,0.134874103055886,0.255962561271052,-0.255510961270234,0.0297278074206713,0.124606465425468,1,0.913981363145393,0.288932668890382,-0.237390482450803,0.0539252380551944,-0.0711277704853718,-0.591667108266353,-0.473365265938161,0.506239879345679,0.399276935438634,0.27384697811828,0.45797098549184,0.639503527473041,0.545301892565746
