"BG","NAG","ALP","C..Neea","C..Peea","N..Peea","Vector.A","Vector.L","C..Nleaf","C..Pleaf","N..Pleaf","SOC","STP","STN","SAP","SAN","SNN","C..Nsoil","C..Psoil","N..Psoil","C..Nlitter","C..Plitter","N.Plitter"
"BG",1,0.598814229249012,0.16403162055336,-0.0859683794466403,0.280632411067194,0.254940711462451,-0.196640316205534,0.25296442687747,-0.564862878623141,0.196640316205534,0.465415019762846,0.544106762348275,0.14038558314255,0.564368685378502,0.266567885097728,-0.41403162055336,-0.288537549407115,0.445652173913043,0.401185770750988,0.362648221343874,-0.00247096622319834,0.0143316040945504,0.0958498023715415
"NAG",0.598814229249012,1,0.201581027667984,-0.813241106719368,0.075098814229249,0.410079051383399,-0.33399209486166,-0.318181818181818,-0.189770205941633,0.259881422924901,0.435770750988142,0.732888581800629,-0.137914005974547,0.610822850374631,0.372403743002949,-0.385375494071146,-0.489130434782609,0.637351778656126,0.742094861660079,0.647233201581028,0.0968618759493751,0.182851500516677,0.147233201581028
"ALP",0.16403162055336,0.201581027667984,1,-0.17094861660079,-0.873517786561265,-0.774703557312253,0.826086956521739,-0.737154150197628,-0.158141838284694,-0.127470355731225,-0.0464426877470356,0.0172967635623884,0.322787978141144,-0.0617741555799586,-0.302670771205584,-0.117588932806324,-0.151185770750988,0.116600790513834,-0.142292490118577,-0.243083003952569,-0.250555975032312,-0.257968873701907,-0.258893280632411
"C..Neea",-0.0859683794466403,-0.813241106719368,-0.17094861660079,1,0.141304347826087,-0.300395256916996,0.243083003952569,0.605731225296443,-0.170990862645325,-0.16501976284585,-0.162055335968379,-0.442797147197143,0.203657958643417,-0.294539173805243,-0.177547070037262,0.16798418972332,0.324110671936759,-0.396245059288538,-0.513833992094862,-0.427865612648221,-0.127007663872395,-0.143810234190144,-0.0266798418972332
"C..Peea",0.280632411067194,0.075098814229249,-0.873517786561265,0.141304347826087,1,0.864624505928854,-0.891304347826087,0.841897233201581,-0.143810234190144,0.24703557312253,0.310276679841897,0.213985674928977,-0.285220005187504,0.280207569710692,0.435212873628944,-0.0405138339920949,-0.0494071146245059,0.099802371541502,0.3300395256917,0.388339920948617,0.190264399186272,0.250555975032312,0.296442687747036
"N..Peea",0.254940711462451,0.410079051383399,-0.774703557312253,-0.300395256916996,0.864624505928854,1,-0.973320158102767,0.503952569169961,-0.0429948122836512,0.263833992094862,0.322134387351779,0.428465543102593,-0.34700943438757,0.415122325497322,0.509891446263002,-0.146245059288538,-0.151185770750988,0.291501976284585,0.565217391304348,0.600790513833992,0.244131462851996,0.350383010449525,0.324110671936759
"Vector.A",-0.196640316205534,-0.33399209486166,0.826086956521739,0.243083003952569,-0.891304347826087,-0.973320158102767,1,-0.536561264822134,0.0489251312193272,-0.234189723320158,-0.286561264822134,-0.360266875342319,0.392980769712419,-0.388930083531419,-0.494560083669255,0.101778656126482,0.130434782608696,-0.221343873517787,-0.521739130434783,-0.5800395256917,-0.182851500516677,-0.299975299496279,-0.33498023715415
"Vector.L",0.25296442687747,-0.318181818181818,-0.737154150197628,0.605731225296443,0.841897233201581,0.503952569169961,-0.536561264822134,1,-0.197183104611228,0.137351778656126,0.179841897233202,-0.0143316040945504,-0.0919426706496981,0.085001238078023,0.294263249783207,0.00395256916996047,0.121541501976285,-0.0592885375494071,0.0177865612648221,0.0849802371541502,0.118112185468881,0.124536697649197,0.186758893280632
"C..Nleaf",-0.564862878623141,-0.189770205941633,-0.158141838284694,-0.170990862645325,-0.143810234190144,-0.0429948122836512,0.0489251312193272,-0.197183104611228,1,0.252532748010871,-0.231776631736005,-0.198714780029659,-0.127564898830215,-0.280771131982205,-0.113529588514076,-0.00691870542495536,0.150728939615099,-0.0523844839318049,-0.00197677297855868,-0.0765999529191487,0.117647058823529,0.329214038556599,0.272300477796458
"C..Pleaf",0.196640316205534,0.259881422924901,-0.127470355731225,-0.16501976284585,0.24703557312253,0.263833992094862,-0.234189723320158,0.137351778656126,0.252532748010871,1,0.852766798418972,0.228811472268167,-0.146317368345756,-0.0143316040945504,-0.194856672965686,-0.382411067193676,-0.447628458498024,0.471343873517787,0.387351778656126,0.193675889328063,0.394860402467095,0.642451218031569,0.5800395256917
