Spearman_fdradjusted P,BG,NAG,ALP,BG: NAG,BG: ALP,NAG: ALP,Vector.A,Vector.L,C..Nleaf,C..Pleaf,N..Pleaf,SOC,STP,STN,SAP,SAN,SNN,C..Nsoil,C..Psoil,N..Psoil,C..Nlitter,C..Plitter,N.Plitter
BG,0,0.009205021,0.557882073,0.781573505,0.466939249,0.41813088,0.503773094,0.643565216,0.019386253,0.436012407,0.085951303,0.0542851,0.781573505,0.040573961,0.938133034,0.108799621,0.41813088,0.200424599,0.251194754,0.337127997,0.962526449,0.781573505,0.875123379
NAG,0.009205021,0,0.41669981,5.55E-05,0.938133034,0.161475264,0.227906253,0.164661416,0.599382597,0.230642639,0.159650204,0.000162296,0.655100341,0.010851555,0.781573505,0.088677301,0.144436031,0.002258424,0.001194105,0.017808558,0.41813088,0.196930728,0.450901569
ALP,0.557882073,0.41669981,0,0.499062394,0.00019384,0.004238524,8.95E-05,0.000481474,0.665052199,0.875123379,0.998337824,0.779260174,0.193110028,0.966460968,0.186237859,0.749832423,0.718059142,0.407498732,0.616491569,0.298458947,0.86864163,0.58822403,0.393005768
C..Neea,0.781573505,5.55E-05,0.499062394,0,0.58144724,0.347493122,0.450901569,0.004491097,0.616491569,0.503773094,0.718059142,0.061050178,0.41669981,0.306210507,0.938133034,0.58822403,0.306660128,0.075489669,0.037522105,0.132175512,0.357564683,0.271240272,0.616491569
C..Peea,0.466939249,0.938133034,0.00019384,0.58144724,0,2.51E-06,1.62E-05,9.16E-06,0.954170639,0.699365409,0.749832423,0.500428707,0.505934761,0.298458947,0.076965695,0.781573505,0.616491569,0.830555669,0.171999867,0.078319678,0.655100341,0.222266334,0.352094374
N..Peea,0.41813088,0.161475264,0.004238524,0.347493122,2.51E-06,0,2.02E-08,0.065231821,0.805981328,0.41813088,0.57249141,0.088677301,0.306210507,0.088677301,0.069924692,0.498746541,0.8320022,0.330627647,0.003739334,0.002258424,0.436012407,0.037522105,0.123431425
Vector.A,0.503773094,0.227906253,8.95E-05,0.450901569,1.62E-05,2.02E-08,0,0.041930309,0.964864228,0.41813088,0.450901569,0.123431425,0.132175512,0.091683517,0.055304744,0.57249141,0.783515408,0.498746541,0.008227307,0.002044807,0.781573505,0.17099097,0.173451038
Vector.L,0.643565216,0.164661416,0.000481474,0.004491097,9.16E-06,0.065231821,0.041930309,0,0.670925614,0.938133034,0.805981328,0.675661676,0.807215477,0.920311654,0.17099097,0.926253257,0.450011151,0.418292928,0.964864228,0.690279264,0.781573505,0.902218037,0.769568804
C..Nleaf,0.019386253,0.599382597,0.665052199,0.616491569,0.954170639,0.805981328,0.964864228,0.670925614,0,0.724446509,0.392181317,0.749832423,0.699365409,0.490144299,0.926253257,0.776885517,0.779260174,0.920696483,0.86864163,0.977423357,0.665052199,0.366241109,0.41813088
C..Pleaf,0.436012407,0.230642639,0.875123379,0.503773094,0.699365409,0.41813088,0.41813088,0.938133034,0.724446509,0,2.02E-08,0.353671354,0.451064116,0.875123379,0.8320022,0.016377866,0.079437169,0.057101664,0.158700533,0.392181317,0.089709058,0.006485889,0.035705571
N..Pleaf,0.085951303,0.159650204,0.998337824,0.718059142,0.749832423,0.57249141,0.450901569,0.805981328,0.392181317,2.02E-08,0,0.306210507,0.578551388,0.712974133,0.864528276,0.013000723,0.054444249,0.075489669,0.227906253,0.418292928,0.200424599,0.075489669,0.14314976
SOC,0.0542851,0.000162296,0.779260174,0.061050178,0.500428707,0.088677301,0.123431425,0.675661676,0.749832423,0.353671354,0.306210507,0,0.8320022,1.33E-07,0.265669539,0.07752833,0.227509667,5.55E-05,9.16E-06,0.002258424,0.781573505,0.242284556,0.197213504
STP,0.781573505,0.655100341,0.193110028,0.41669981,0.505934761,0.306210507,0.132175512,0.807215477,0.699365409,0.451064116,0.578551388,0.8320022,0,0.58822403,0.655649748,0.749832423,0.875123379,0.956446054,0.158700533,0.041930309,0.50968592,0.450901569,0.699365409
STN,0.040573961,0.010851555,0.966460968,0.306210507,0.298458947,0.088677301,0.091683517,0.920311654,0.490144299,0.875123379,0.712974133,1.33E-07,0.58822403,0,0.132175512,0.46539722,0.964864228,0.079437169,0.002258424,0.003945556,0.600411413,0.781573505,0.456662206
SAP,0.938133034,0.781573505,0.186237859,0.938133034,0.076965695,0.069924692,0.055304744,0.17099097,0.926253257,0.8320022,0.864528276,0.265669539,0.655649748,0.132175512,0,0.781573505,0.82967259,0.670925614,0.101678177,0.029674857,0.649272913,0.941538791,0.805981328
SAN,0.108799621,0.088677301,0.749832423,0.58822403,0.781573505,0.498746541,0.57249141,0.926253257,0.776885517,0.016377866,0.013000723,0.07752833,0.749832423,0.46539722,0.781573505,0,0.0004909,0.003945556,0.144436031,0.55211538,0.393005768,0.083725485,0.144436031
SNN,0.41813088,0.144436031,0.718059142,0.306660128,0.616491569,0.8320022,0.783515408,0.450011151,0.779260174,0.079437169,0.054444249,0.227509667,0.875123379,0.964864228,0.82967259,0.0004909,0,0.008227307,0.251194754,0.769062255,0.41669981,0.200424599,0.316748275
C..Nsoil,0.200424599,0.002258424,0.407498732,0.075489669,0.830555669,0.330627647,0.498746541,0.418292928,0.920696483,0.057101664,0.075489669,5.55E-05,0.956446054,0.079437169,0.670925614,0.003945556,0.008227307,0,0.00120067,0.094794895,0.081257553,0.041930309,0.223950649
C..Psoil,0.251194754,0.001194105,0.616491569,0.037522105,0.171999867,0.003739334,0.008227307,0.964864228,0.86864163,0.158700533,0.227906253,9.16E-06,0.158700533,0.002258424,0.101678177,0.144436031,0.251194754,0.00120067,0,1.22E-09,0.552468026,0.031051318,0.035705571
N..Psoil,0.337127997,0.017808558,0.298458947,0.132175512,0.078319678,0.002258424,0.002044807,0.690279264,0.977423357,0.392181317,0.418292928,0.002258424,0.041930309,0.003945556,0.029674857,0.55211538,0.769062255,0.094794895,1.22E-09,0,0.926253257,0.132175512,0.07752833
C..Nlitter,0.962526449,0.41813088,0.86864163,0.357564683,0.655100341,0.436012407,0.781573505,0.781573505,0.665052199,0.089709058,0.200424599,0.781573505,0.50968592,0.600411413,0.649272913,0.393005768,0.41669981,0.081257553,0.552468026,0.926253257,0,0.001675952,0.57249141
C..Plitter,0.781573505,0.196930728,0.58822403,0.271240272,0.222266334,0.037522105,0.17099097,0.902218037,0.366241109,0.006485889,0.075489669,0.242284556,0.450901569,0.781573505,0.941538791,0.083725485,0.200424599,0.041930309,0.031051318,0.132175512,0.001675952,0,2.92E-05
N.Plitter,0.875123379,0.450901569,0.393005768,0.616491569,0.352094374,0.123431425,0.173451038,0.769568804,0.41813088,0.035705571,0.14314976,0.197213504,0.699365409,0.456662206,0.805981328,0.144436031,0.316748275,0.223950649,0.035705571,0.07752833,0.57249141,2.92E-05,0
