Spearman_undfdradjusted P,BG,NAG,ALP,BG: NAG,BG: ALP,NAG: ALP,Vector.A,Vector.L,C..Nleaf,C..Pleaf,N..Pleaf,SOC,STP,STN,SAP,SAN,SNN,C..Nsoil,C..Psoil,N..Psoil,C..Nlitter,C..Plitter,N.Plitter
BG,0,0.001548671,0.372272915,0.667705885,0.290402671,0.239496516,0.325555003,0.465946083,0.003628051,0.256332436,0.025509177,0.012416819,0.670144197,0.008667028,0.900329742,0.035580973,0.239020071,0.085019,0.115388138,0.168882645,0.940692201,0.671102476,0.803213624
NAG,0.001548671,0,0.228506746,4.56E-06,0.89609478,0.061354495,0.101243799,0.063187651,0.420360952,0.10333139,0.060057449,1.50E-05,0.481546302,0.001866714,0.672241862,0.027232906,0.052458891,0.000303116,0.000128665,0.003265463,0.236718549,0.080782548,0.273609459
ALP,0.372272915,0.228506746,0,0.317928217,1.87E-05,0.000632974,7.95E-06,4.82E-05,0.496405157,0.808951479,0.998337824,0.638575848,0.078485172,0.959153135,0.074988022,0.601777371,0.563316718,0.219540905,0.444013777,0.141612846,0.789823486,0.407088794,0.209034045
C..Neea,0.667705885,4.56E-06,0.317928217,0,0.398989316,0.175388778,0.272965036,0.000687673,0.438365667,0.326643046,0.560753276,0.014887473,0.229224281,0.147740067,0.902664866,0.41031128,0.150141726,0.019737983,0.007824424,0.046018448,0.18452771,0.126647159,0.442310585
C..Peea,0.290402671,0.89609478,1.87E-05,0.398989316,0,1.57E-07,1.20E-06,6.06E-07,0.925311035,0.53949562,0.598788362,0.320690608,0.329957453,0.141218948,0.020514486,0.66995077,0.442277779,0.736352758,0.067954579,0.021763691,0.48172785,0.095377047,0.179042319
N..Peea,0.239496516,0.061354495,0.000632974,0.175388778,1.57E-07,0,1.08E-09,0.016153816,0.700193922,0.238452756,0.388514964,0.027324008,0.148763895,0.026968337,0.01758031,0.315841382,0.741790418,0.164376316,0.000516014,0.000299664,0.255184557,0.007873258,0.040887091
Vector.A,0.325555003,0.101243799,7.95E-06,0.272965036,1.20E-06,1.08E-09,0,0.00917431,0.950608352,0.239310929,0.269206124,0.041299361,0.04622395,0.028943568,0.013068229,0.386978329,0.67687437,0.314952214,0.001352506,0.000243521,0.664122085,0.066806494,0.069183684
Vector.L,0.465946083,0.063187651,4.82E-05,0.000687673,6.06E-07,0.016153816,0.00917431,0,0.504503298,0.892889999,0.705424112,0.51217454,0.709556138,0.85768175,0.06690951,0.873519193,0.266263687,0.242752229,0.953920588,0.525864921,0.653462819,0.837408424,0.62409266
C..Nleaf,0.003628051,0.420360952,0.496405157,0.438365667,0.925311035,0.700193922,0.950608352,0.504503298,0,0.57106653,0.20684043,0.59828955,0.540719192,0.306687643,0.875967423,0.632963436,0.640790502,0.861521283,0.788711983,0.973727994,0.496589071,0.190389991,0.237089624
C..Pleaf,0.256332436,0.10333139,0.808951479,0.326643046,0.53949562,0.238452756,0.239310929,0.892889999,0.57106653,0,1.11E-09,0.181181355,0.275413439,0.806942968,0.747071919,0.002941205,0.022521368,0.013708717,0.059100199,0.206078235,0.027981086,0.001017635,0.007122478
N..Pleaf,0.025509177,0.060057449,0.998337824,0.560753276,0.598788362,0.388514964,0.269206124,0.705424112,0.20684043,1.11E-09,0,0.147678821,0.394814841,0.553936424,0.779546291,0.002285571,0.01265906,0.01983566,0.101234585,0.241983118,0.085246758,0.019617759,0.050603034
SOC,0.012416819,1.50E-05,0.638575848,0.014887473,0.320690608,0.027324008,0.041299361,0.51217454,0.59828955,0.181181355,0.147678821,0,0.745872842,7.82E-09,0.123041658,0.021250676,0.099347321,4.72E-06,6.41E-07,0.000280913,0.670662065,0.109463155,0.081644154
STP,0.670144197,0.481546302,0.078485172,0.229224281,0.329957453,0.148763895,0.04622395,0.709556138,0.540719192,0.275413439,0.394814841,0.745872842,0,0.409888849,0.484610684,0.602417353,0.802595876,0.931133682,0.058520724,0.009432338,0.33433084,0.272133985,0.536339886
STN,0.008667028,0.001866714,0.959153135,0.147740067,0.141218948,0.026968337,0.028943568,0.85768175,0.306687643,0.806942968,0.553936424,7.82E-09,0.409888849,0,0.045523892,0.287684104,0.948065067,0.022674882,0.000291331,0.000574306,0.423352471,0.649546107,0.280558066
SAP,0.900329742,0.672241862,0.074988022,0.902664866,0.020514486,0.01758031,0.013068229,0.06690951,0.875967423,0.747071919,0.779546291,0.123041658,0.484610684,0.045523892,0,0.650795966,0.732433081,0.506047864,0.032867615,0.00566571,0.472533217,0.909501554,0.70408002
SAN,0.035580973,0.027232906,0.601777371,0.41031128,0.66995077,0.315841382,0.386978329,0.873519193,0.632963436,0.002941205,0.002285571,0.021250676,0.602417353,0.287684104,0.650795966,0,5.10E-05,0.000572149,0.052589689,0.364250033,0.210246942,0.024532042,0.052695943
SNN,0.239020071,0.052458891,0.563316718,0.150141726,0.442277779,0.741790418,0.67687437,0.266263687,0.640790502,0.022521368,0.01265906,0.099347321,0.802595876,0.948065067,0.732433081,5.10E-05,0,0.001353073,0.115228143,0.620774259,0.226662346,0.084355036,0.15627845
C..Nsoil,0.085019,0.000303116,0.219540905,0.019737983,0.736352758,0.164376316,0.314952214,0.242752229,0.861521283,0.013708717,0.01983566,4.72E-06,0.931133682,0.022674882,0.506047864,0.000572149,0.001353073,0,0.000133912,0.030284191,0.023501712,0.009376711,0.0969465
C..Psoil,0.115388138,0.000128665,0.444013777,0.007824424,0.067954579,0.000516014,0.001352506,0.953920588,0.788711983,0.059100199,0.101234585,6.41E-07,0.058520724,0.000291331,0.032867615,0.052589689,0.115228143,0.000133912,0,5.76E-11,0.366571413,0.006045909,0.00722211
N..Psoil,0.168882645,0.003265463,0.141612846,0.046018448,0.021763691,0.000299664,0.000243521,0.525864921,0.973727994,0.206078235,0.241983118,0.000280913,0.009432338,0.000574306,0.00566571,0.364250033,0.620774259,0.030284191,5.76E-11,0,0.87722662,0.046062446,0.021163174
C..Nlitter,0.940692201,0.236718549,0.789823486,0.18452771,0.48172785,0.255184557,0.664122085,0.653462819,0.496589071,0.027981086,0.085246758,0.670662065,0.33433084,0.423352471,0.472533217,0.210246942,0.226662346,0.023501712,0.366571413,0.87722662,0,0.000193257,0.384240201
C..Plitter,0.671102476,0.080782548,0.407088794,0.126647159,0.095377047,0.007873258,0.066806494,0.837408424,0.190389991,0.001017635,0.019617759,0.109463155,0.272133985,0.649546107,0.909501554,0.024532042,0.084355036,0.009376711,0.006045909,0.046062446,0.000193257,0,2.26E-06
N.Plitter,0.803213624,0.273609459,0.209034045,0.442310585,0.179042319,0.040887091,0.069183684,0.62409266,0.237089624,0.007122478,0.050603034,0.081644154,0.536339886,0.280558066,0.70408002,0.052695943,0.15627845,0.0969465,0.00722211,0.021163174,0.384240201,2.26E-06,0
